"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2022";"0000";"19,4";"20,6";"19,4";"59,0";"59,0";"55,0";"11,2";"11,4";"11,0";"921,3";"921,4";"921,0";"1,9";"89,0";"4,2";"";"0,0"
"01/07/2022";"0100";"17,3";"19,7";"17,3";"65,0";"65,0";"59,0";"10,7";"11,4";"10,7";"921,8";"921,8";"921,3";"0,7";"58,0";"6,0";"";"0,0"
"01/07/2022";"0200";"18,2";"18,9";"17,1";"62,0";"66,0";"61,0";"10,7";"11,6";"10,7";"921,7";"921,8";"921,7";"1,7";"125,0";"5,0";"";"0,0"
"01/07/2022";"0300";"17,7";"18,3";"17,6";"64,0";"64,0";"62,0";"10,8";"10,9";"10,7";"921,8";"921,8";"921,7";"1,4";"134,0";"2,9";"";"0,0"
"01/07/2022";"0400";"16,5";"17,8";"15,8";"69,0";"70,0";"63,0";"10,9";"11,0";"10,1";"921,8";"921,9";"921,8";"0,1";"141,0";"2,3";"";"0,0"
"01/07/2022";"0500";"14,8";"16,7";"14,8";"76,0";"76,0";"69,0";"10,7";"11,0";"10,3";"921,3";"921,8";"921,3";"0,7";"304,0";"1,8";"";"0,0"
"01/07/2022";"0600";"13,8";"14,9";"13,8";"81,0";"81,0";"76,0";"10,6";"11,1";"10,6";"921,1";"921,3";"921,1";"0,2";"317,0";"1,4";"";"0,0"
"01/07/2022";"0700";"13,5";"14,1";"13,5";"84,0";"84,0";"81,0";"10,8";"11,3";"10,7";"920,8";"921,1";"920,7";"0,2";"344,0";"1,0";"";"0,0"
"01/07/2022";"0800";"13,3";"13,5";"13,1";"85,0";"86,0";"84,0";"10,9";"11,1";"10,6";"920,7";"920,8";"920,6";"0,2";"205,0";"1,2";"";"0,0"
"01/07/2022";"0900";"15,1";"15,3";"12,8";"75,0";"86,0";"75,0";"10,8";"11,6";"10,4";"921,1";"921,1";"920,7";"1,3";"107,0";"3,4";"";"0,0"
"01/07/2022";"1000";"15,3";"15,4";"13,9";"75,0";"79,0";"75,0";"10,8";"11,0";"10,3";"921,8";"921,8";"921,1";"1,6";"105,0";"3,3";"20,30";"0,0"
"01/07/2022";"1100";"16,7";"16,8";"15,3";"70,0";"75,0";"69,0";"11,2";"11,3";"10,8";"922,5";"922,5";"921,8";"2,5";"96,0";"7,4";"256,60";"0,0"
"01/07/2022";"1200";"18,1";"18,1";"16,7";"67,0";"70,0";"66,0";"11,7";"11,9";"11,1";"923,2";"923,2";"922,5";"3,2";"91,0";"7,8";"1123,70";"0,0"
"01/07/2022";"1300";"19,1";"19,6";"18,1";"62,0";"67,0";"61,0";"11,7";"12,3";"11,5";"923,5";"923,5";"923,2";"3,5";"103,0";"8,0";"1760,40";"0,0"
"01/07/2022";"1400";"21,5";"21,5";"19,1";"56,0";"63,0";"56,0";"12,5";"13,2";"11,7";"923,3";"923,5";"923,3";"2,5";"81,0";"7,8";"2218,30";"0,0"
"01/07/2022";"1500";"21,8";"22,1";"20,9";"53,0";"58,0";"52,0";"11,7";"13,0";"11,2";"922,9";"923,3";"922,9";"3,0";"105,0";"8,1";"2482,10";"0,0"
"01/07/2022";"1600";"23,4";"23,9";"21,6";"45,0";"54,0";"44,0";"10,8";"12,1";"10,5";"922,1";"922,9";"922,1";"2,5";"69,0";"7,1";"2527,10";"0,0"
"01/07/2022";"1700";"23,0";"23,8";"22,0";"45,0";"48,0";"43,0";"10,6";"11,3";"9,7";"921,4";"922,1";"921,4";"2,8";"104,0";"6,3";"2341,90";"0,0"
"01/07/2022";"1800";"22,5";"23,8";"22,2";"46,0";"46,0";"41,0";"10,4";"10,9";"9,7";"921,1";"921,4";"921,1";"2,8";"121,0";"6,1";"1888,00";"0,0"
"01/07/2022";"1900";"21,4";"22,8";"21,3";"50,0";"50,0";"45,0";"10,4";"10,7";"9,7";"921,2";"921,2";"921,1";"2,5";"119,0";"6,1";"1260,10";"0,0"
