Data	Hora (UTC)	Temp. Ins. (C)	Temp. Max. (C)	Temp. Min. (C)	Umi. Ins. (%)	Umi. Max. (%)	Umi. Min. (%)	Pto Orvalho Ins. (C)	Pto Orvalho Max. (C)	Pto Orvalho Min. (C)	Pressao Ins. (hPa)	Pressao Max. (hPa)	Pressao Min. (hPa)	Vel. Vento (m/s)	Dir. Vento (m/s)	Raj. Vento (m/s)	Radiacao (KJ/m²)	Chuva (mm)
01/01/2018	0	21,7	22,5	21,6	85	85	71	19	19,3	17	918,5	918,5	917,7	0,7	342	2,3		0
01/01/2018	100	21,3	21,7	21	89	89	84	19,4	19,4	18,9	918,9	918,9	918,5	0,8	355	2,3		0
01/01/2018	200	21,7	21,9	21,2	87	89	86	19,4	19,7	19,3	918,8	919,2	918,8	0,6	39	1,3		0
01/01/2018	300	21,2	21,7	21,2	89	89	87	19,3	19,6	19,2	918,4	918,8	918,4	0,3	16	1,3		0
01/01/2018	400	20,8	21,3	20,8	91	91	89	19,2	19,7	19,2	917,6	918,4	917,6	0,3	348	2		0
01/01/2018	500	20,9	21	20,7	92	92	91	19,5	19,6	19,2	917	917,6	917	0,5	46	1,3		0
01/01/2018	600	20,9	21	20,7	92	92	91	19,5	19,6	19,2	916,2	917	916,2	0	41	1,3		0
01/01/2018	700	20,8	20,9	20,5	92	92	91	19,4	19,5	19,1	916	916,2	915,9	0,2	59	1,7		0
01/01/2018	800	20,7	20,8	20,3	92	92	91	19,3	19,4	18,9	916,4	916,4	916	0,1	89	1,4		0
01/01/2018	900	20,6	20,7	20,4	92	92	91	19,2	19,3	18,9	917,2	917,2	916,4	0,3	256	1	19,2	0
01/01/2018	1000	21,9	21,9	20,6	88	92	88	19,9	20,1	19,2	917,8	917,8	917,2	0	315	0,8	294,2	0
01/01/2018	1100	23	23,1	21,9	81	88	81	19,5	20,3	19,5	917,9	917,9	917,7	0,2	343	0,9	624,8	0
01/01/2018	1200	23,9	24	23	69	83	68	18	20,1	17,6	918,1	918,1	917,9	2,4	282	4,9	938,4	0
01/01/2018	1300	26,1	26,6	23,9	62	70	58	18,2	18,9	17,4	917,8	918,2	917,8	2,9	311	7	2582,4	0
01/01/2018	1400	26,3	27,2	25,9	58	65	57	17,4	18,9	17,1	917,6	917,8	917,5	3,3	293	7	2308,7	0,2
01/01/2018	1500	28,9	28,9	26,1	52	60	51	18	18,8	16,2	916,6	917,6	916,6	3,8	287	10	2644,8	0
01/01/2018	1600	27,6	29	25,9	58	67	46	18,5	19,9	15,2	916	916,6	916	2,3	306	11,4	1833,5	0
01/01/2018	1700	29,4	29,8	27,4	43	58	40	15,3	18,7	14,5	915,2	916	915,2	4,8	299	11	3583,1	0
