"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2020";"0000";"23,6";"24,4";"23,6";"62,0";"63,0";"60,0";"16,0";"16,2";"15,9";"915,4";"915,4";"914,4";"2,1";"101,0";"6,3";"";"0,0"
"01/01/2020";"0100";"23,2";"23,9";"23,1";"63,0";"64,0";"61,0";"15,7";"16,0";"15,7";"916,0";"916,0";"915,4";"2,7";"95,0";"6,7";"";"0,0"
"01/01/2020";"0200";"22,8";"23,4";"22,8";"63,0";"63,0";"62,0";"15,4";"15,7";"15,4";"916,1";"916,2";"916,0";"2,2";"99,0";"5,7";"";"0,0"
"01/01/2020";"0300";"22,3";"22,9";"22,2";"63,0";"64,0";"62,0";"15,0";"15,4";"14,9";"915,9";"916,1";"915,9";"2,1";"95,0";"4,9";"";"0,0"
"01/01/2020";"0400";"21,9";"22,4";"21,9";"64,0";"64,0";"63,0";"14,8";"15,0";"14,8";"915,5";"915,9";"915,5";"1,9";"100,0";"4,6";"";"0,0"
"01/01/2020";"0500";"21,5";"22,1";"21,4";"66,0";"66,0";"64,0";"14,9";"14,9";"14,7";"915,2";"915,6";"915,1";"2,0";"102,0";"5,1";"";"0,0"
"01/01/2020";"0600";"21,1";"21,5";"21,0";"68,0";"69,0";"66,0";"15,1";"15,1";"14,9";"915,0";"915,2";"914,9";"2,3";"102,0";"4,6";"";"0,0"
"01/01/2020";"0700";"20,5";"21,1";"20,4";"73,0";"73,0";"68,0";"15,4";"15,4";"15,0";"915,2";"915,2";"915,0";"2,1";"95,0";"5,7";"";"0,0"
"01/01/2020";"0800";"20,0";"20,5";"20,0";"77,0";"77,0";"73,0";"15,8";"15,8";"15,4";"915,3";"915,3";"915,2";"2,4";"96,0";"6,5";"";"0,0"
"01/01/2020";"0900";"20,1";"20,1";"19,8";"78,0";"79,0";"76,0";"16,1";"16,1";"15,8";"915,9";"915,9";"915,3";"2,5";"95,0";"5,8";"60,30";"0,0"
"01/01/2020";"1000";"21,8";"21,8";"20,1";"71,0";"78,0";"71,0";"16,2";"16,6";"16,0";"916,1";"916,2";"915,9";"2,7";"90,0";"5,5";"595,20";"0,0"
"01/01/2020";"1100";"24,4";"24,4";"21,7";"65,0";"72,0";"62,0";"17,5";"17,5";"16,3";"916,5";"916,5";"916,1";"1,1";"72,0";"6,1";"1449,00";"0,0"
"01/01/2020";"1200";"24,9";"25,5";"23,9";"59,0";"65,0";"56,0";"16,2";"17,8";"15,7";"916,4";"916,6";"916,4";"0,8";"49,0";"4,5";"2249,50";"0,0"
"01/01/2020";"1300";"26,1";"26,4";"24,9";"59,0";"64,0";"53,0";"17,6";"18,2";"15,4";"916,1";"916,5";"916,1";"1,6";"17,0";"5,1";"2820,00";"0,0"
"01/01/2020";"1400";"27,5";"28,2";"26,1";"58,0";"60,0";"49,0";"18,4";"18,9";"16,0";"915,7";"916,1";"915,6";"1,9";"355,0";"5,5";"3281,60";"0,0"
"01/01/2020";"1500";"27,9";"29,1";"26,1";"54,0";"58,0";"49,0";"17,7";"18,9";"15,9";"915,0";"915,7";"915,0";"1,9";"359,0";"5,6";"2735,00";"0,0"
"01/01/2020";"1600";"29,2";"29,9";"27,9";"49,0";"59,0";"46,0";"17,3";"19,4";"16,5";"914,2";"915,0";"914,2";"1,4";"38,0";"4,4";"2712,10";"0,0"
"01/01/2020";"1700";"29,7";"30,1";"28,7";"47,0";"54,0";"40,0";"17,2";"19,3";"14,4";"913,2";"914,2";"913,2";"1,3";"54,0";"4,9";"2972,50";"0,0"
"01/01/2020";"1800";"28,6";"30,6";"28,3";"45,0";"54,0";"41,0";"15,7";"18,9";"15,3";"912,1";"913,2";"912,1";"1,6";"4,0";"6,1";"2624,80";"0,0"
"01/01/2020";"1900";"29,6";"30,8";"28,5";"43,0";"53,0";"41,0";"15,7";"18,8";"15,0";"911,1";"912,1";"911,1";"1,8";"321,0";"4,5";"2068,00";"0,0"
"01/01/2020";"2000";"29,6";"30,7";"28,9";"44,0";"48,0";"37,0";"15,9";"17,3";"14,1";"910,9";"911,1";"910,9";"1,4";"333,0";"4,5";"1567,90";"0,0"
"01/01/2020";"2100";"27,7";"29,8";"27,6";"51,0";"53,0";"40,0";"16,6";"17,6";"14,6";"911,0";"911,0";"910,9";"1,5";"306,0";"3,8";"702,30";"0,0"
"01/01/2020";"2200";"26,9";"27,7";"26,4";"52,0";"55,0";"50,0";"16,2";"17,4";"15,3";"911,3";"911,3";"910,9";"0,6";"89,0";"2,8";"65,10";"0,0"
"01/01/2020";"2300";"26,1";"27,1";"26,1";"57,0";"57,0";"51,0";"16,9";"17,0";"16,1";"912,8";"912,8";"911,3";"2,1";"114,0";"4,9";"";"0,0"
"02/01/2020";"0000";"23,3";"26,1";"23,3";"71,0";"71,0";"57,0";"17,7";"17,7";"16,9";"913,5";"913,7";"912,8";"2,6";"3,0";"9,8";"";"0,0"
"02/01/2020";"0100";"22,4";"23,4";"22,4";"74,0";"78,0";"71,0";"17,6";"18,7";"17,5";"914,8";"914,8";"913,5";"2,7";"64,0";"7,2";"";"0,0"
"02/01/2020";"0200";"19,7";"22,5";"19,6";"91,0";"91,0";"74,0";"18,2";"18,3";"17,5";"915,6";"915,9";"914,8";"4,3";"146,0";"7,3";"1,90";"23,8"
"02/01/2020";"0300";"18,6";"19,7";"18,5";"92,0";"92,0";"91,0";"17,3";"18,2";"17,1";"915,9";"915,9";"915,3";"1,0";"141,0";"7,2";"0,10";"35,0"
"02/01/2020";"0400";"19,2";"19,2";"18,6";"92,0";"92,0";"92,0";"17,9";"17,9";"17,3";"915,3";"916,1";"915,1";"0,6";"167,0";"4,4";"";"29,2"
"02/01/2020";"0500";"18,0";"19,2";"17,7";"92,0";"92,0";"92,0";"16,7";"17,9";"16,4";"914,4";"915,4";"914,4";"1,1";"100,0";"4,0";"0,70";"11,4"
"02/01/2020";"0600";"19,0";"19,0";"18,0";"92,0";"92,0";"92,0";"17,8";"17,8";"16,7";"914,2";"914,5";"914,2";"0,6";"119,0";"3,8";"";"1,0"
"02/01/2020";"0700";"19,0";"19,3";"19,0";"92,0";"92,0";"92,0";"17,7";"18,0";"17,7";"914,0";"914,2";"913,9";"0,1";"137,0";"2,4";"";"0,2"
"02/01/2020";"0800";"19,3";"19,3";"19,0";"92,0";"92,0";"92,0";"18,0";"18,1";"17,7";"914,2";"914,3";"914,0";"0,9";"105,0";"2,8";"";"0,0"
"02/01/2020";"0900";"19,2";"19,4";"18,6";"92,0";"92,0";"92,0";"18,0";"18,1";"17,3";"915,2";"915,2";"914,2";"0,9";"48,0";"2,8";"33,70";"0,0"
"02/01/2020";"1000";"20,5";"20,8";"19,2";"92,0";"92,0";"92,0";"19,1";"19,5";"17,9";"915,4";"915,4";"915,1";"0,8";"67,0";"2,7";"339,20";"0,0"
"02/01/2020";"1100";"21,2";"21,2";"20,3";"88,0";"92,0";"88,0";"19,3";"19,3";"18,9";"916,1";"916,1";"915,4";"1,1";"10,0";"3,0";"567,30";"0,0"
"02/01/2020";"1200";"22,8";"23,8";"21,3";"83,0";"88,0";"75,0";"19,7";"20,5";"18,4";"916,0";"916,2";"916,0";"0,9";"330,0";"4,3";"1448,30";"0,0"
"02/01/2020";"1300";"26,2";"26,3";"22,8";"69,0";"83,0";"69,0";"19,9";"20,6";"18,6";"915,9";"916,1";"915,9";"1,9";"347,0";"5,5";"2423,10";"0,0"
"02/01/2020";"1400";"27,4";"27,5";"25,0";"62,0";"72,0";"59,0";"19,5";"21,0";"18,3";"915,2";"915,9";"915,2";"2,9";"333,0";"6,5";"3606,60";"0,2"
"02/01/2020";"1500";"25,8";"27,4";"25,5";"67,0";"71,0";"62,0";"19,3";"20,8";"18,6";"914,9";"915,2";"914,9";"2,7";"342,0";"7,2";"2236,40";"0,0"
"02/01/2020";"1600";"27,8";"28,8";"25,8";"58,0";"70,0";"53,0";"18,7";"20,8";"18,1";"914,1";"914,9";"914,1";"2,5";"333,0";"8,0";"3653,30";"0,0"
"02/01/2020";"1700";"26,7";"28,6";"26,2";"63,0";"67,0";"57,0";"19,0";"21,0";"18,3";"913,3";"914,1";"913,3";"2,8";"359,0";"7,3";"2174,80";"0,0"
"02/01/2020";"1800";"21,1";"28,2";"20,0";"90,0";"90,0";"57,0";"19,4";"19,8";"17,0";"913,3";"913,5";"913,0";"2,1";"343,0";"13,5";"883,80";"2,6"
"02/01/2020";"1900";"21,4";"22,2";"20,5";"90,0";"90,0";"86,0";"19,8";"20,5";"18,5";"913,3";"913,4";"913,1";"1,3";"343,0";"10,1";"429,90";"4,4"
"02/01/2020";"2000";"21,5";"21,9";"21,4";"90,0";"90,0";"89,0";"19,8";"20,1";"19,7";"913,6";"913,7";"913,1";"1,2";"321,0";"3,8";"263,50";"0,0"
"02/01/2020";"2100";"20,6";"21,5";"20,6";"89,0";"90,0";"87,0";"18,6";"19,8";"18,6";"914,3";"914,3";"913,6";"1,5";"271,0";"5,2";"64,80";"0,8"
"02/01/2020";"2200";"20,4";"20,6";"20,4";"90,0";"90,0";"89,0";"18,8";"18,9";"18,6";"914,6";"914,6";"914,3";"0,7";"228,0";"2,8";"11,10";"3,0"
"02/01/2020";"2300";"20,5";"20,6";"20,2";"91,0";"91,0";"90,0";"18,9";"19,0";"18,7";"914,9";"914,9";"914,6";"0,2";"249,0";"1,7";"";"1,0"
