Data	Hora (UTC)	Temp. Ins. (C)	Temp. Max. (C)	Temp. Min. (C)	Umi. Ins. (%)	Umi. Max. (%)	Umi. Min. (%)	Pto Orvalho Ins. (C)	Pto Orvalho Max. (C)	Pto Orvalho Min. (C)	Pressao Ins. (hPa)	Pressao Max. (hPa)	Pressao Min. (hPa)	Vel. Vento (m/s)	Dir. Vento (m/s)	Raj. Vento (m/s)	Radiacao (KJ/m²)	Chuva (mm)
01/01/2023	0	20,6	21,4	20,6	85	85	80	17,9	18	17,7	920	920	919	1,7	140	4,1		0
01/01/2023	100	20,1	20,6	20	89	89	85	18,3	18,3	17,9	920,4	920,4	920	1,3	152	4,3		0,8
01/01/2023	200	19,9	20,1	19,9	90	90	89	18,2	18,4	18,1	920,6	920,6	920,3	1,3	150	2,7		0
01/01/2023	300	19,6	19,9	19,6	91	91	89	18,1	18,2	18	920,2	920,6	920,2	0,4	205	3		0,4
01/01/2023	400	19,3	19,8	19,3	91	91	91	17,9	18,2	17,8	918,7	920,2	918,7	0,5	4	1,6		0,4
01/01/2023	500	19,4	19,5	19,3	92	92	91	18	18,1	17,9	918,1	918,7	918,1	0,7	203	2,3		0,2
01/01/2023	600	19,2	19,4	19,1	92	92	92	17,9	18	17,7	918,1	918,3	918,1	0,3	135	1,6		0
01/01/2023	700	18,9	19,3	18,9	91	92	91	17,5	17,9	17,5	918,4	918,4	918	0	355	1,9		0
01/01/2023	800	19,4	19,4	18,9	89	92	89	17,5	17,8	17,4	918,7	918,7	918,4	0,9	113	2,4		0,2
01/01/2023	900	19,6	19,6	19,3	88	89	87	17,6	17,6	17,4	919	919	918,7	0,6	86	2,6	42,4	0
01/01/2023	1000	21,2	21,2	19,6	86	90	86	18,8	19	17,5	919,5	919,5	919	1	44	2,6	469,6	0
01/01/2023	1100	22,1	22,1	21,2	82	87	82	19	19,1	18,5	919,7	919,7	919,4	1,3	76	4,3	728,8	0
01/01/2023	1200	22,3	23,1	21,9	78	83	76	18,4	19,5	18	920,1	920,2	919,7	1,8	27	4,7	942,3	0
01/01/2023	1300	25,7	26,1	22,3	65	80	64	18,5	21,2	18,2	920,2	920,4	920,1	1,2	46	5,8	2169,4	0
01/01/2023	1400	26,4	26,4	24,9	64	70	62	19	19,8	17,8	919,8	920,2	919,8	1,9	46	5,5	2182,9	0,2
01/01/2023	1500	22,8	26,4	22,8	75	76	62	18	19	17,7	919,4	919,9	919,4	1,9	21	4,9	1032,5	0
01/01/2023	1600	21,4	22,8	20,9	86	87	75	19	19	17,8	919,2	919,4	919,1	1	345	5,5	207,6	0,6
01/01/2023	1700	25,5	25,5	21,4	74	87	72	20,6	21,7	18,6	918,3	919,2	918,3	3	71	6,3	2012,3	0
01/01/2023	1800	23,5	26,4	23,3	74	75	65	18,5	20,9	18	917,8	918,4	917,8	1,4	109	6,3	1782,8	0
01/01/2023	1900	22,7	23,5	22,3	76	79	74	18,3	18,9	18,1	917,3	917,9	917,3	2,5	94	6,2	833,4	0,2
01/01/2023	2000	21,8	22,9	21,6	79	81	76	18	18,7	17,9	917,4	917,5	917,2	2,3	111	6	373,5	0
01/01/2023	2100	20,8	21,8	20,8	83	83	78	17,8	18	17,6	918,4	918,4	917,3	1,8	121	6	42,7	0
01/01/2023	2200	20,1	21,1	20,1	87	87	82	17,8	17,9	17,6	919,2	919,2	918,3	1,8	115	4,3		0,6
01/01/2023	2300	19,6	20,1	19,6	90	90	87	17,9	17,9	17,8	918,8	919,2	918,8	2,1	60	4,8		1,2
02/01/2023	0	19,6	19,7	19,4	91	91	90	18,1	18,1	17,7	920	920	918,8	1,6	140	4,4		0,2
02/01/2023	100	19,3	19,6	19,2	91	91	90	17,8	18,1	17,7	919,7	920,1	919,6	1,3	37	3,6		0,2
02/01/2023	200	19,3	19,3	19,1	92	92	91	17,9	17,9	17,6	919,8	919,8	919,4	0,9	196	3,3		1,2
02/01/2023	300	19,3	19,3	19,2	92	92	92	17,9	17,9	17,8	919,4	919,9	919,3	0,5	83	2,3		3,4
02/01/2023	400	19,2	19,3	19,2	92	92	92	17,8	17,9	17,8	918,9	919,5	918,8	2	127	4,6		0,6
02/01/2023	500	18,9	19,2	18,9	91	92	91	17,4	17,8	17,4	918,6	919	918,6	0,6	128	4,6		0
02/01/2023	600	18,7	18,9	18,6	92	92	91	17,3	17,4	17,3	918	918,6	918	0,5	106	1,5		0
02/01/2023	700	18,6	18,7	18,3	92	92	92	17,3	17,3	17	917	918	916,9	1,6	23	3,4		0
02/01/2023	800	18,5	18,7	18,5	92	92	92	17,2	17,3	17,1	917,5	917,5	916,9	0,9	115	3,4		0,2
02/01/2023	900	18,5	18,5	18,4	91	92	91	17,1	17,1	17	918,4	918,4	917,6	1,1	128	3	22,7	0
02/01/2023	1000	19,7	19,7	18,5	89	91	89	17,8	17,9	17,1	919,3	919,3	918,3	0,8	103	3,6	308,2	0
02/01/2023	1100	21,7	21,7	19,7	86	89	84	19,3	19,3	17,7	919,3	919,4	919,1	1,3	65	3,7	747,8	0
02/01/2023	1200	24	24,8	21,8	73	86	69	18,8	20,2	17,9	919,3	919,4	919,2	1,4	19	4,1	2205,4	0,2
02/01/2023	1300	24,6	25,1	22,9	69	77	67	18,4	19,6	18,1	919,3	919,6	919,2	2,4	39	6,8	2168,4	0
02/01/2023	1400	24,4	25,4	23,7	71	73	67	18,9	20	17,4	918,8	919,3	918,8	1,3	354	4,6	1592,7	0
02/01/2023	1500	22,5	25	22	80	83	67	18,8	20,1	17,8	918	918,8	918	1,4	331	5,4	1328,3	1,4
02/01/2023	1600	24,7	24,8	21,7	75	87	74	19,9	21,5	18,2	916,9	918	916,9	1,6	328	5,4	1358,7	0,8
02/01/2023	1700	25,7	25,7	24,6	68	77	63	19,2	21	17,2	916	916,9	916	1,5	328	5	1885,7	0
02/01/2023	1800	23,6	26,1	22,8	73	77	61	18,5	19,3	17,3	915,6	916	915,6	1,9	99	5,8	1270	0
02/01/2023	1900	22	23,6	21,4	77	78	72	17,8	18,6	17,2	915,3	915,7	915,3	3,1	111	6,7	720,3	0
02/01/2023	2000	20,7	22,3	20,7	78	78	73	16,7	18,1	16,6	915	915,4	915	3,1	94	7,7	700,3	0
02/01/2023	2100	20,5	21	20,4	78	79	76	16,5	17	16,5	914,9	915,1	914,7	2,3	104	6,8	256,8	0
02/01/2023	2200	20,1	20,7	19,8	80	82	77	16,6	16,7	16,4	915,8	915,8	914,8	1	77	5,1	17,4	0
